User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Effective Charging Index,Charge Stress Index,Depth of Discharge Category,Thermal Stress Level,Fast Charging Ratio,Battery Aging Index
User_1,BMW i3,108.46300741284072,Station_391,Houston,2024-01-01 00:00:00,2024-01-01 00:39:00,60.71234573492677,0.5913634253585007,36.3891805669814,13.087716791774506,Evening,Tuesday,29.371575979140047,86.11996244457839,293.6021106383279,27.947953055800944,2.0,DC Fast Charger,Commuter,1.8091269136873802,4.8224992809961105,Deep,Low Stress,0.749816047538945,1.49963209507789
User_2,Hyundai Kona,100.0,Station_428,San Francisco,2024-01-01 01:00:00,2024-01-01 03:01:00,12.339275203733752,3.133652052688084,30.67773493971444,21.12844792913739,Morning,Monday,10.115777641679946,84.66434362786444,112.11280368218186,14.311025660377789,3.0,Level 1,Casual Driver,0.05282014438597613,1.9565285037095008,Deep,Cold Stress,0.06381787204527534,0.191453616135826
User_3,Chevy Bolt,75.0,Station_181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,19.12887570011548,2.4526527258367823,27.51359255877324,35.66727042356739,Morning,Thursday,6.854604444398554,69.91761524016282,71.79925292594801,21.00200183614421,2.0,Level 2,Commuter,0.12367407863351561,4.628759829250281,Deep,Low Stress,0.3487134266368807,0.6974268532737614
User_4,Hyundai Kona,50.0,Station_327,Houston,2024-01-01 03:00:00,2024-01-01 06:42:00,79.45782398845503,1.266430804620451,32.882869757386224,13.036238833914622,Evening,Saturday,83.12000296074223,99.62432763119423,199.5777845163286,38.31631316036344,1.0,Level 1,Long-Distance Traveler,3.801521431707017,0.7581694427789566,Shallow,High Heat Stress,0.08768559494321773,0.08768559494321773
User_5,Hyundai Kona,50.0,Station_108,Los Angeles,2024-01-01 04:00:00,2024-01-01 05:46:00,19.62910416772725,2.0197650865894614,10.215712071204608,10.161471171031415,Morning,Saturday,54.25894969116981,63.743786036169695,203.66184655799864,-7.834199027249213,1.0,Level 1,Long-Distance Traveler,1.0246363932201692,0.05727598697695147,Moderate,Cold Stress,0.39034610232765254,0.39034610232765254
User_6,Nissan Leaf,50.0,Station_335,San Francisco,2024-01-01 05:00:00,2024-01-01 07:10:00,43.18113714248533,1.1676401541014236,14.33452277611833,36.90034077796173,Evening,Saturday,75.21774833696946,71.98228757123687,143.68004610728445,-5.274217796522686,0.0,DC Fast Charger,Long-Distance Traveler,-11.430070670932032,0.029659437904655077,Shallow,Cold Stress,0.662397808134481,0.0
User_7,Chevy Bolt,85.0,Station_162,Houston,2024-01-01 06:00:00,2024-01-01 07:53:00,36.862139988267536,3.5396190263161467,26.18518786003352,22.21422517569784,Evening,Friday,60.75178075976676,70.79609690147149,81.33800890802773,27.5513346806664,4.0,Level 2,Commuter,1.0368206770983446,0.871295637029266,Moderate,Low Stress,0.07284716627547971,0.29138866510191885
User_8,Chevy Bolt,75.0,Station_302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,51.46761685839947,2.6553964456130235,26.7029077655282,9.796821321322032,Afternoon,Monday,56.201703032995454,63.786815331776616,116.54316578116932,-4.41745966595273,0.0,Level 2,Long-Distance Traveler,2.555304587887905,0.08878433913937998,Moderate,Cold Stress,0.3158794028569917,0.0
User_9,Chevy Bolt,62.0,Station_493,Los Angeles,2024-01-01 08:00:00,2024-01-01 09:21:00,43.59237228216989,1.724203599132774,14.294922926661108,32.465005072088225,Evening,Wednesday,33.46620026326066,92.96142090358896,208.25974249443672,22.51670642679634,4.0,Level 1,Commuter,0.4249519995069148,3.9380581943627133,Moderate,Low Stress,0.2634831102003505,1.053932440801402
User_10,Hyundai Kona,50.0,Station_452,Chicago,2024-01-01 09:00:00,2024-01-01 12:44:00,78.86860745126785,2.0268746909843576,11.76099971515701,21.312302451155745,Morning,Wednesday,27.399454625609152,70.05338137780706,54.00630919992556,27.512019364625917,2.830381306943589,DC Fast Charger,Commuter,0.912259204764642,2.856777074954204,Deep,Low Stress,0.8832290311184181,2.499874939427468
User_11,BMW i3,50.0,Station_206,Los Angeles,2024-01-01 10:00:00,2024-01-01 13:59:00,18.20619747737872,2.6486354477276968,10.310701112892176,38.221230704051806,Night,Thursday,76.08656557040186,82.2655816267944,64.63464374887128,0.5004335643954789,3.0,DC Fast Charger,Casual Driver,1.112442924857545,0.04996946743397821,Shallow,Cold Stress,0.608233797718321,1.824701393154963
User_12,Chevy Bolt,85.0,Station_78,San Francisco,2024-01-01 11:00:00,2024-01-01 14:55:00,22.564929484106763,2.0578886215204486,4.46482262892762,14.0508613520737,Evening,Sunday,14.618902372078484,85.85749415419053,194.76380668173772,34.26261127319235,0.0,DC Fast Charger,Long-Distance Traveler,0.15392061462779835,0.36462188489470787,Deep,High Heat Stress,0.9879639408647978,0.0
User_13,Hyundai Kona,100.0,Station_16,San Francisco,2024-01-01 12:00:00,2024-01-01 13:00:00,34.256452908516025,3.0655847520228034,5.523688619042968,10.972135997218215,Afternoon,Monday,19.20544694977322,51.62648272929986,249.12759651542487,23.662965362338845,0.0,Level 2,Casual Driver,0.3446689642798306,0.7662860595518541,Deep,Low Stress,0.09138189653251949,0.0
User_14,Nissan Leaf,75.0,Station_327,Houston,2024-01-01 13:00:00,2024-01-01 15:54:00,16.56106432522506,3.5909657181461028,19.76909871755716,37.44185660286842,Morning,Friday,25.775415389763285,69.2012290988145,159.2316102189639,34.11034863859677,7.0,Level 2,Commuter,0.10620110120457751,1.1321590432297648,Deep,High Heat Stress,0.39853356642269677,2.7897349649588774
User_15,BMW i3,85.0,Station_96,Houston,2024-01-01 14:00:00,2024-01-01 17:32:00,12.927545290947553,3.4218093378407497,24.21115011711917,18.552815677456245,Afternoon,Monday,71.68354383511853,63.70663794066834,155.36060543681995,39.50544568765913,4.0,Level 1,Casual Driver,-0.4736153747603634,0.14653680198865995,Shallow,High Heat Stress,0.38991726485871325,1.559669059434853
User_16,Nissan Leaf,100.0,Station_147,Los Angeles,2024-01-01 15:00:00,2024-01-01 17:19:00,27.354317884610715,2.703286127534274,11.112498841670842,33.093492711055774,Evening,Monday,10.677153729384765,72.40347015226732,247.6594369214761,-8.30213689912669,1.5352340877952697,DC Fast Charger,Long-Distance Traveler,0.16393191530547108,0.19996818908601394,Deep,Cold Stress,0.6733618039413735,1.0337679948301117
User_17,BMW i3,97.681812229825,Station_2,New York,2024-01-01 16:00:00,2024-01-01 18:02:00,24.726937680708804,3.4586802787724484,49.40273861566977,17.49480846107398,Evening,Thursday,67.59197091077596,89.94222936485875,237.3064209427689,4.41532961880046,7.0,DC Fast Charger,Commuter,0.31987284062951854,0.5236901976551148,Moderate,Cold Stress,0.7216968971838151,5.051878280286706
User_18,Hyundai Kona,50.0,Station_10,Chicago,2024-01-01 17:00:00,2024-01-01 20:13:00,23.824040473705303,0.8482182678183041,6.614280124746195,6.430589211997161,Evening,Friday,57.59519511951953,74.96195034708379,22.00682916343814,18.40570905025936,6.0,Level 2,Casual Driver,1.617294514321409,0.3025129921758748,Moderate,Low Stress,0.27209129697251655,1.6325477818350993
User_19,Tesla Model 3,100.0,Station_434,New York,2024-01-01 18:00:00,2024-01-01 21:03:00,42.63801819167288,0.8075321582617996,20.49084604597367,25.0787937101842,Evening,Saturday,55.51705087402344,52.7134886858277,280.8620709755801,37.430356532255,0.0,Level 1,Long-Distance Traveler,-18.833324540803524,0.04277426369185629,Moderate,High Heat Stress,0.02887936359167034,0.0
User_20,BMW i3,50.0,Station_125,Los Angeles,2024-01-01 19:00:00,2024-01-01 20:22:00,48.48248430757049,2.5809253540076567,45.29143534649799,7.090844200594135,Morning,Wednesday,12.754877571721774,116.0956568894014,243.25576946966927,9.202409891916812,3.0,Level 2,Long-Distance Traveler,0.18177647997467122,5.572766325416069,Deep,Cold Stress,0.012261000882322426,0.03678300264696728
User_21,Nissan Leaf,50.0,Station_81,Los Angeles,2024-01-01 20:00:00,2024-01-01 22:54:00,50.27906667357191,3.16887289218907,30.489960233968677,28.872894608008124,Night,Tuesday,16.545512365179043,77.93632713949575,15.420444595980063,33.980310103059054,3.0,Level 2,Casual Driver,0.25845146042976247,3.750992668306225,Deep,High Heat Stress,0.10307315540448547,0.3092194662134564
User_22,Hyundai Kona,62.0,Station_485,New York,2024-01-01 21:00:00,2024-01-01 22:55:00,59.1350316162392,2.9317614950957465,,34.85323440188442,Evening,Sunday,71.5303121297424,75.97435158703122,219.6263569214341,-2.755069331695,5.0,Level 1,Commuter,4.538771199803834,,Shallow,Cold Stress,0.18504918269572654,0.9252459134786327
User_23,BMW i3,75.0,Station_140,Chicago,2024-01-01 22:00:00,2024-01-02 01:02:00,49.19642958971384,2.5628173042684104,19.194882837079632,14.856131218606723,Afternoon,Saturday,49.02423910950519,64.48187393759193,298.18812231836336,39.95893731677202,4.257936702758294,DC Fast Charger,Long-Distance Traveler,1.241860730262993,0.24789243675739586,Moderate,High Heat Stress,0.7168578594140873,3.0523353902599877
User_24,Tesla Model 3,100.0,Station_326,New York,2024-01-01 23:00:00,2024-01-01 23:31:00,68.44712632026376,2.0714292092234388,49.71030696901287,38.40606169605943,Morning,Friday,19.23313912730544,74.00615088095063,280.91546822652094,3.580839953900103,5.0,DC Fast Charger,Commuter,0.6032794082432004,1.21448940205265,Deep,Cold Stress,0.7465447373174767,3.7327236865873834
User_25,Tesla Model 3,100.0,Station_150,Houston,2024-01-02 00:00:00,2024-01-02 01:55:00,27.60438468247694,0.9571376601264636,11.238538626794044,24.03753468851581,Morning,Wednesday,65.48688658113335,65.35209627449626,173.47152650529225,35.977821918048456,4.0,Level 1,Long-Distance Traveler,-213.96611687244138,0.0012647091249333917,Moderate,High Heat Stress,0.2970826084799924,1.1883304339199696
User_26,Chevy Bolt,75.0,Station_288,San Francisco,2024-01-02 01:00:00,2024-01-02 03:42:00,40.178003499947216,3.604173535372616,12.31861479590845,38.76319382514176,Morning,Saturday,80.34408372714871,79.99556313119572,82.75461394014503,21.53684396835515,1.0,DC Fast Charger,Commuter,-31.985578571013736,0.012825874603964477,Shallow,Low Stress,0.9140703845572055,0.9140703845572055
User_27,Chevy Bolt,75.0,Station_361,Houston,2024-01-02 02:00:00,2024-01-02 02:33:00,43.487751224792326,3.652540335433942,36.18237188372349,27.44831088430594,Afternoon,Thursday,88.74847907153811,87.82402899882813,80.91266512306521,29.872209873061493,0.3612151658030595,Level 1,Commuter,-12.879187595919298,0.07594823082913048,Shallow,Low Stress,0.13837399701878517,0.049982786275972545
User_28,Nissan Leaf,50.0,Station_340,San Francisco,2024-01-02 03:00:00,2024-01-02 06:13:00,10.338517723856468,1.547713717696371,45.7767311942711,9.855826892937216,Night,Sunday,98.3327953116332,94.50485176968456,162.6865443608225,5.504758728380647,0.0,Level 1,Long-Distance Traveler,-1.7450268795010995,0.17099651594663448,Shallow,Cold Stress,0.14841550519384109,0.0
User_29,BMW i3,75.0,Station_129,Los Angeles,2024-01-02 04:00:00,2024-01-02 04:35:00,31.68448458657448,2.4396779381538938,48.64872319079225,25.617103995808733,Afternoon,Friday,34.72763909597674,54.40205038521579,,20.37856231027433,3.0,Level 2,Casual Driver,0.660104056995171,2.270202135896893,Moderate,Low Stress,0.39505982549442314,1.1851794764832695
User_30,BMW i3,75.0,Station_438,Chicago,2024-01-02 05:00:00,2024-01-02 07:58:00,56.59325685914933,3.153257254972797,45.81173100244055,33.13209178024766,Afternoon,Friday,29.207671702279008,85.00810624066354,186.15573210131024,12.333415373869066,0.0,DC Fast Charger,Casual Driver,0.3216382593186177,2.493980334100457,Deep,Cold Stress,0.6185801650879991,0.0
User_31,Chevy Bolt,100.0,Station_239,New York,2024-01-02 06:00:00,2024-01-02 09:54:00,19.473800595427143,1.435532787267766,7.043936342279247,36.945272915195176,Afternoon,Wednesday,31.320786979519863,78.05665281794616,,8.352906076534808,2.0,DC Fast Charger,Casual Driver,0.2902600793194848,0.18654882514646656,Moderate,Cold Stress,0.8430179407605753,1.6860358815211507
User_32,BMW i3,100.0,Station_58,Chicago,2024-01-02 07:00:00,2024-01-02 09:27:00,38.28919933554271,2.0076640542660726,12.064391459035129,17.011782945517666,Evening,Wednesday,75.6447784790562,65.61730718592959,238.9093109631085,2.273162900972052,6.0,Level 1,Commuter,-1.9019268706220067,0.05098671117418881,Shallow,Cold Stress,0.23147016342895738,1.3888209805737444
